,neighbourhood,index,price
0,"10minwalktodogpatch,mission,soma.walkingdistancetowholefoods,anchorsteambrewery,plow,farleyscoffee.newlyremodeledpubliclibrarya10minwalkaway.potrerohillisknownforitsbreathtakingdowntownviews,great,eclecticvibe,an",1022360.0,139.0
1,bayview,9072382.975,129.29375
2,bernalheights,7686366.1773049645,188.56382978723406
3,chinatown,11539227.342105264,183.30263157894737
4,crockeramazon,10329239.11627907,119.62790697674419
5,dalycity,15664493.0,261.5
6,diamondheights,10057234.294117646,189.44117647058823
7,downtown,12135196.123123122,178.68768768768768
8,excelsior,8729040.275229357,143.3165137614679
9,financialdistrict,9617823.49484536,394.680412371134
10,glenpark,7436622.375,228.25
11,haightashbury,6960128.071823205,225.1767955801105
12,innersunset,8920992.234042553,192.89361702127658
13,lakeshore,11918327.791666666,169.70833333333334
14,marina,7492753.207792208,296.012987012987
15,missiondistrict,7223576.542264753,215.0103668261563
16,missionterrace,7526559.1632653065,137.78571428571428
17,nobhill,8881435.9704142,225.11242603550295
18,noevalley,7559258.977941177,253.91360294117646
19,northbeach,8174606.405063291,342.28164556962025
20,oceanview,9628836.45945946,128.29054054054055
21,outermission,7387327.0281690145,200.4788732394366
22,outersunset,9991731.93137255,161.06127450980392
23,pacificheights,7683675.551724138,288.3448275862069
24,parkside,9040197.568965517,139.1206896551724
25,potrerohill,7439366.81025641,265.94871794871796
26,presidio,2155294.3333333335,620.6666666666666
27,presidioheights,6035259.523809524,275.5238095238095
28,richmonddistrict,8109887.54723127,210.35179153094464
29,russianhill,7501170.711864407,350.09322033898303
30,seacliff,13211512.0,122.66666666666667
31,soma,10272578.217391305,231.31270903010034
32,sunsetdistrict,459156.5,375.75
33,thecastro,6656851.473214285,246.73660714285714
34,twinpeaks,7909226.537313432,213.38805970149255
35,visitacionvalley,8333936.45,635.65
36,westernaddition,7454464.723658051,272.32306163021866
37,westoftwinpeaks,8505004.64516129,155.73387096774192
